Server;Sets ;Games ;Points ;Description
Roger Federer  ;0?1;0?0;30?0;1st serve down the T, ace.
Roger Federer  ;0?1;0?0;40?0;"1st serve down the T, fault (wide). 2nd serve wide; forehand return down the middle (long), unforced error."
;;;;
Rafael Nadal  ;1?0;0?1;0?0;"1st serve down the T; backhand return down the middle (shallow); forehand crosscourt; backhand crosscourt; forehand down the middle; forehand inside-out; forehand crosscourt; backhand drop shot approach shot down the line; backhand slice at net crosscourt; forehand volley down the line, winner. (10-shot rally)"
Rafael Nadal  ;1?0;0?1;0?15;"1st serve wide; backhand slice return down the middle (deep); forehand crosscourt; backhand crosscourt; forehand crosscourt; backhand down the middle; forehand crosscourt; backhand crosscourt; forehand down the line; forehand down the line, winner. (10-shot rally)"
Rafael Nadal  ;1?0;0?1;0?30;"1st serve down the T, fault (net). 2nd serve to body; forehand return crosscourt (net), unforced error."
Rafael Nadal  ;1?0;0?1;15?30;"1st serve down the T, fault (net). 2nd serve wide; backhand return down the middle (very deep); backhand down the middle; forehand approach shot inside-out; forehand down the line; forehand volley crosscourt; backhand approach shot down the line, winner. (7-shot rally)"
Rafael Nadal  ;1?0;0?1;30?30;"1st serve down the T, fault (long). 2nd serve down the T; forehand return down the middle (very deep); backhand crosscourt; forehand approach shot down the line; forehand crosscourt, forced error. (4-shot rally)"
Rafael Nadal  ;1?0;0?1;30?40;"1st serve down the T; forehand return down the middle (deep); forehand approach shot inside-out; forehand crosscourt, winner. (4-shot rally)"
;;;;
Roger Federer  ;0?1;2?0;0?0;1st serve wide, ace.
Roger Federer  ;0?1;2?0;15?0;"1st serve down the T; backhand return inside-out (shallow); backhand volley down the line (net), unforced error."
Roger Federer  ;0?1;2?0;15?15;"1st serve wide; backhand return down the middle (shallow); forehand approach shot inside-out, winner."
Roger Federer  ;0?1;2?0;30?15;"1st serve down the T; backhand return inside-out (very deep); forehand inside-out; forehand down the line, forced error."
Roger Federer  ;0?1;2?0;40?15;"1st serve wide; backhand return crosscourt (deep), winner."
Roger Federer  ;0?1;2?0;40?30;"1st serve wide, fault (long). 2nd serve wide; forehand return down the middle (long), unforced error."
;;;;
Rafael Nadal  ;1?0;0?3;0?0;"1st serve down the T; backhand return inside-out, forced error."
Rafael Nadal  ;1?0;0?3;15?0;"1st serve wide, fault (long). 2nd serve wide; forehand return inside-in (wide), unforced error."
Rafael Nadal  ;1?0;0?3;30?0;"1st serve down the T; backhand slice return down the middle (deep); forehand inside-out (wide), unforced error."
Rafael Nadal  ;1?0;0?3;30?15;"1st serve to body; backhand slice return down the middle (shallow); forehand approach shot crosscourt; backhand crosscourt, forced error."
